Date,Gig,Income,Commission,Sound,In-Ears,Printing/Shipping,Advertising,Other,Net,Payout,To Account
1/5/2013,Powerhouse Pub,2500,250,,130,,,,2120,140,160
1/12/2013,Sweetwater,3900,390,,130,24.98,,,3355.02,200,555.02
1/26/2013,Bimbo's,4000,400,,130,103.56,295.62,,3070.82,200,270.82
2/22/2013,New Parish,1544,154.4,,80,12.26,76.71,,1220.63,100,-179.37
2/23/2013,DQ's,3210,321,,130,46.68,,,2712.32,160,472.32
3/2/2013,Mystic Theater,4121,412.1,,130,70.7,150,44.42,3313.78,210,373.78
4/12/2013,Bimbo's,4298,429.8,,130,87.24,310,500,2840.96,180,320.96
4/20/2013,Club Fox,3810,381,,130,,18.8,,3280.2,220,200.2
5/8/2013,Intuit,6000,900,,130,,,140,4830,340,70
5/11/2013,Pebble Beach,4000,600,,130,,,140,3130,220,50
5/16/2013,SFS Gala,4000,600,,130,,,140,3130,200,330
5/17/2013,DQ's,2480,248,,130,44.41,,,2057.59,140,97.5900000000002
5/18/2013,Slim's,1737,173.7,,80,,207.4,,1275.9,100,-124.1
5/25/2013,Harlow's,1500,150,,80,,7.28,,1262.72,90,2.72000000000003
6/8/2013,Black Oak Casino,3600,360,,130,,,140,2970,200,170
6/13/2013,Los Altos,3500,700,,130,,,,2670,200,-130
6/21/2013,"Cervantes, Denver",1000,100,,,,,,900,80,-220
6/22/2013,Wild Animal Sanct.,11650,500,,,,,5489.87,5660.13,360,620.13
6/23/2013,Belly Up Aspen,1000,100,,,5.23,,,894.77,60,54.77
6/27/2013,Montgomery Vill.,3000,300,,130,,,140,2430,160,190
7/5/2013,Blackhawk,3000,300,,130,,,,2570,180,50
7/6/2013,Scottsdale,13600,1200,,,150,,5163.2,7086.8,450,786.8
7/11/2013,Todos Santos,2000,200,,130,,,,1670,100,270
7/12/2013,HOB San Diego,1500,150,,80,19.3,149.12,,1101.58,70,121.58
7/13/2013,HOB Anaheim,1500,150,,80,25.11,151.1,,1093.79,70,113.79
7/19/2013,Sweetwater,3393,339.3,,130,33.8,58.86,,2831.04,190,171.04
7/20/2013,Club Fox,2675,267.5,,130,,6.94,,2270.56,150,170.56
7/26/2013,DQ's,2682,268.2,,130,40.16,,,2243.64,150,143.64
7/27/2013,Sonoma Co. Fair,3000,300,,130,,,,2570,170,190
8/1/2013,Windsor,3320,300,,130,,,,2890,190,230
8/10/2013,SC Beerfest,3500,350,,130,,,,3020,200,220
8/11/2013,Carmel Wedding,6000,750,1000,0,17.23,,,4232.77,280,312.77
8/16/2013,Brisbane,3351,250,800,130,,,51,2120,140,160
8/23/2013,Powerhouse,2500,250,,130,,,,2120,140,160
8/24/2013,Bimbo's,6785,678.5,,130,15.91,287.32,,5673.27,360,633.27
9/7/2013,Catalyst,3177,318,,130,21.26,,,2707.74,180,187.74
9/13/2013,RWC,2500,250,,130,,,,2120,140,160
9/21/2013,Ventura Beerfest,4000,400,,130,,,150,3320,200,520
9/27/2013,Maritime,3000,300,,130,,,,2570,160,330
9/28/2013,Mystic,2119,212,,130,55.64,59.15,,1662.21,100,262.21
10/5/2013,Story Winery,3750,562.5,,130,,,,3057.5,200,257.5
10/18/2013,DQ's,1730,173,,80,18.75,,,1458.25,100,58.25
10/19/2013,Club Fox,2348,234.8,,130,,,,1983.2,140,23.2
10/25/2013,Bimbo's,3094,309.4,,130,78.44,125.065,487.9,1963.195,120,283.195
10/26/2013,Bimbo's,7458,745.8,,130,78.44,125.065,487.9,5890.795,380,570.795
11/2/2013,Pittsburg High,2500,250,,130,,,,2120,140,160
11/9/2013,Treasure Island,6500,825,1000,130,,,,4545,300,345
11/15/2013,Powerhouse,2786.93,250,,130,,,,2406.93,160,166.93
11/20/2013,Dreamforce,8000,1200,,130,,,,6670,440,510
11/22/2013,Catalyst,2068,206.8,,130,,,,1731.2,120,51.2
11/23/2013,Sweetwater,3900,390,,130,41.86,,,3338.14,220,258.14
12/7/2013,4 Seasons,12000,1650,1000,130,,,,9220,600,820
12/14/2013,Silicon Valley Ball,6500,650,,130,,,,5720,380,400
12/20/2013,Salesforce,8000,1050,1000,130,,,,5820,400,220
12/27/2013,Harlow's,2000,200,,130,,,,1670,110,130
12/28/2013,DQ's,2503,250.3,,130,,,,2122.7,140,162.7
