Date,Gig,Income,Commission,Sound,In-Ears,Print ship,Advertising,Other,Net,Payout,To Account
3/23/2012,George's,2440,100,0,130,0,0,0,2210,150,110
3/30/2012,Power House Pub,2250,250,0,130,0,0,0,1870,120,190
3/31/2012,Dan's Bar,1500,100,0,80,0,0,0,1320,90,60
4/20/2012,RDL,2983.5,298.35,0,130,68.87,0,0,2486.28,165,176.28
4/27/2012,DQ's,1730,100,20,80,85.57,0,0,1444.43,100,44.43
5/11/2012,New Parish,2734,273,0,130,28.12,100,0,2202.88,150,102.88
5/12/2012,Mill Valley Wedding,4675,0,1000,130,0,0,0,3545,240,185
5/18/2012,Liver Let Die,6375,0,1000,130,0,0,0,5245,350,345
5/27/2012,Livermore Wedding,4500,450,1000,130,0,0,0,2920,200,120
6/1/2012,El Dorado Hills,2520,0,0,130,0,0,0,2390,160,150
6/2/2012,UCSC,1800,180,0,80,5.79,0,0,1534.21,110,-5.79
6/2/2012,DQs,1564,100,0,80,46.28,0,0,1337.72,100,-62.28
6/8/2012,Treasure Island Wedding,5525,0,1000,130,0,0,0,4395,280,475
6/23/2012,Bimbo's,7277,1091.55,0,130,151.14,19.88,200,5684.43,360,644.43
6/30/2012,US Gymnastics,3500,350,0,130,0,0,0,3020,200,220
7/6/2012,Blackhawk Plaza,3000,450,0,130,0,0,0,2420,160,180
7/13/2012,Stockton,3000,450,0,130,0,0,0,2420,160,180
7/14/2012,George's,2070,100,0,130,27.4,0,0,1812.6,120,132.6
7/19/2012,Los Altos,3500,875,0,130,0,0,0,2495,160,255
7/20/2012,Dan's,1660,100,0,80,27.4,0,0,1452.6,100,52.6
7/25/2012,Pruneyard,3000,300,0,130,0,0,0,2570,160,330
7/27/2012,RDL,800,100,0,80,20,10,0,590,40,30
7/28/2012,SC Beerfest,3500,525,0,0,0,0,0,2975,200,175
8/9/2012,Todos Santos,2000,100,0,130,0,0,0,1770,120,90
8/11/2012,DQ's,2236,100,0,130,0,0,0,1883,125,133
8/17/2012,"Summerlin, Vegas",7000,1050,0,0,0,0,3620,2330,160,90
8/18/2012,"Silverton, Vegas",3500,525,0,0,0,0,90,2885,180,365
8/25/2012,Bimbo's,3000,450,0,130,137.51,290.97,340,1651.52,120,-28.48
8/30/2012,Montgomery Village,3000,300,0,130,0,0,0,2570,180,50
8/31/2012,Redwood City,2500,250,0,130,0,0,0,2120,120,440
9/13/2012,Fulton 55,831,83,0,80,0,0,0,668,,0
9/14/2012,Velvet Jones,285,29,0,0,0,0,0,256,,0
9/15/2012,Ventura Beer Fest,4000,600,0,130,0,0,0,3270,,0
9/21/2012,Red Devil,2014.5,100,0,130,41.1,178.09,0,1565.31,110,25.31
9/22/2012,Marin Beer Fest,3500,525,0,130,0,100,0,2745,190,85
9/28/2012,DQs,1800,100,0,80,52.42,0,0,1567.58,110,27.58
9/29/2012,Palo Alto BW Ball,5000,750,0,130,0,0,0,4120,270,340
10/5/2012,Jon Lovitz,60,0,0,0,0,40,,20,,0
10/6/2012,San Dimas Beer Fest,3500,350,0,130,0,0,,3020,,0
10/25/2012,Reunion,2200,220,0,130,0,0,0,1850,120,170
10/27/2012,Bimbo's,7688,1153,0,130,136.76,300,17.34,5950.9,400,350.9
11/16/2012,New Parish,2136,100,0,130,64.765,85.51,0,1755.725,120,75.7249999999999
11/17/2012,Red Devil Lounge,3548.75,532,0,130,64.765,85.51,0,2736.475,200,-63.5250000000001
11/18/2012,Pittsburg HS,2500,0,0,130,0,0,0,2370,150,270
12/1/2012,George's Buy Out,2500,100,0,0,0,0,,2400,100,1000
12/8/2012,Dan's Bar,1700,100,0,80,0,0,0,1520,100,120
12/28/2012,DQ's,2270,100,0,130,0,0,0,2040,140,80
12/29/2012,Little Fox,2050,205,0,130,105,35.84,0,1574.16,110,34.1599999999999
